active_vehicles,is_weekend,month,day,trips_rolling_mean_3,trips_rolling_mean_7,lag_1,lag_2,lag_3
3147,0,1,2,12138.0,10915.857142857143,6903.0,9537.0,7679.0
196,0,1,2,9292.666666666666,10897.142857142857,19974.0,6903.0,9537.0
890,0,1,2,8827.0,11431.57142857143,1001.0,19974.0,6903.0
1137,0,1,2,4524.0,8237.857142857143,5506.0,1001.0,19974.0
785,0,1,2,5779.666666666667,7822.0,7065.0,5506.0,1001.0
175,0,1,2,4236.0,6584.571428571428,4768.0,7065.0,5506.0
201,1,1,3,2389.6666666666665,5816.428571428572,875.0,4768.0,7065.0
1188,1,1,3,4355.0,4486.428571428572,1526.0,875.0,4768.0
818,1,1,3,6540.666666666667,5405.142857142857,10664.0,1526.0,875.0
915,1,1,3,8702.0,5762.857142857143,7432.0,10664.0,1526.0
173,1,1,3,5510.0,4909.0,8010.0,7432.0,10664.0
3215,1,1,3,12942.333333333334,8474.857142857143,1088.0,8010.0,7432.0
2862,1,1,4,17086.0,11270.0,29729.0,1088.0,8010.0
183,1,1,4,17054.333333333332,11193.857142857143,20441.0,29729.0,1088.0
1088,1,1,4,9721.0,10774.57142857143,993.0,20441.0,29729.0
812,1,1,4,4781.0,10515.857142857143,7729.0,993.0,20441.0
147,1,1,4,4713.666666666667,9484.57142857143,5621.0,7729.0,993.0
746,1,1,4,3878.3333333333335,10075.285714285714,791.0,5621.0,7729.0
194,0,1,5,2332.6666666666665,5968.857142857143,5223.0,791.0,5621.0
951,0,1,5,4073.0,3907.571428571429,984.0,5223.0,791.0
1218,0,1,5,4965.0,4894.142857142857,6012.0,984.0,5223.0
3387,0,1,5,11612.333333333334,6779.428571428572,7899.0,6012.0,984.0
907,0,1,5,11541.0,6804.714285714285,20926.0,7899.0,6012.0
227,0,1,5,9285.666666666666,6853.571428571428,5798.0,20926.0,7899.0
933,0,1,6,4582.333333333333,7081.142857142857,1133.0,5798.0,20926.0
218,0,1,6,3087.6666666666665,7128.285714285715,6816.0,1133.0,5798.0
234,0,1,6,3168.6666666666665,6466.0,1314.0,6816.0,1133.0
1336,0,1,6,4272.666666666667,6784.428571428572,1376.0,1314.0,6816.0
3473,0,1,6,12268.333333333334,7409.428571428572,10128.0,1376.0,1314.0
1022,0,1,6,14306.666666666666,7651.285714285715,25301.0,10128.0,1376.0
1363,0,1,7,14773.333333333334,9136.285714285714,7491.0,25301.0,10128.0
1039,0,1,7,9365.666666666666,9459.42857142857,11528.0,7491.0,25301.0
3603,0,1,7,16851.666666666668,13550.142857142857,9078.0,11528.0,7491.0
248,0,1,7,13577.0,13597.0,29949.0,9078.0,11528.0
217,0,1,7,11033.0,12356.714285714286,1704.0,29949.0,9078.0
974,0,1,7,3849.0,9941.857142857143,1446.0,1704.0,29949.0
3831,0,1,8,14548.333333333334,13700.57142857143,8397.0,1446.0,1704.0
1463,0,1,8,18553.666666666668,13976.857142857143,33802.0,8397.0,1446.0
1135,0,1,8,19226.666666666668,14168.0,13462.0,33802.0,8397.0
262,0,1,8,8596.333333333334,10162.57142857143,10416.0,13462.0,33802.0
1070,0,1,8,7459.0,11354.857142857143,1911.0,10416.0,13462.0
238,0,1,8,4577.666666666667,11401.42857142857,10050.0,1911.0,10416.0
1455,0,1,9,8329.0,12082.57142857143,1772.0,10050.0,1911.0
224,0,1,9,5499.0,7476.571428571428,13165.0,1772.0,10050.0
3820,0,1,9,16080.666666666666,10341.57142857143,1560.0,13165.0,1772.0
1140,0,1,9,15184.666666666666,10350.285714285714,33517.0,1560.0,13165.0
1070,0,1,9,17844.0,11439.857142857143,10477.0,33517.0,1560.0
280,0,1,9,7351.333333333333,10295.42857142857,9538.0,10477.0,33517.0
